item,cluster,raw_fraction,residual,z_score,coverage
dmw=10505,0,0.09821428571428571,-0.08572360956650237,-1.1040182100112386,2016
dmw=10505,16,0.05405405405405406,-0.077960566977821,-1.0431654086982574,37
dmw=10507,9,0.5954198473282443,-0.23393179557864097,-3.293235674788593,131
dmw=10507,12,0.7703703703703704,-0.10208732145294208,-1.383458828156319,135
dmw=10550,7,0.1905781584582441,-0.11590602828869484,-1.6725243307275168,467
dmw=10550,1,0.1829787234042553,-0.07172903190946356,-1.2609207200257182,1410
dmw=10574,13,0.0,-0.2080438343030963,-1.535771273643653,71
dmw=10574,4,0.01694915254237288,-0.17296501534784348,-1.250661301277732,236
dmw=10574,14,0.09523809523809523,-0.15494204385112043,-1.104176070063497,21
dmw=10574,6,0.04405286343612335,-0.1473333144989023,-1.0423346318406792,227
dmw=10588,15,0.16666666666666666,-0.3600568047504136,-2.6370198451740494,30
dmw=10597,7,0.5934065934065934,-0.21177442895387988,-2.1274059821792455,91
dmw=10597,2,0.7116564417177914,-0.10497373938253274,-1.2697075510295062,163
dmw=10597,10,0.6829268292682927,-0.07653915916228049,-1.0413542047805626,41
dmw=10611,12,0.7142857142857143,-0.20872711956920764,-3.0685673810729175,98
dmw=10611,16,0.782608695652174,-0.11923388359735809,-1.6004048302813663,46
dmw=10616,13,0.0,-0.538664039998589,-1.8089705629601025,29
dmw=10616,4,0.0782608695652174,-0.43202637653929443,-1.429755044075307,230
dmw=10616,6,0.11173184357541899,-0.4009390898002242,-1.319205157768234,179
dmw=10616,5,0.22448979591836735,-0.34388147420501847,-1.1163018626062542,49
dmw=10617,13,0.32142857142857145,-0.520454062940809,-2.552249677421566,28
dmw=10617,6,0.5128205128205128,-0.31468237364602947,-1.4462721799476785,78
dmw=10617,4,0.5663716814159292,-0.2597652195128859,-1.1511045749932742,113
dmw=10620,8,0.0,-0.18601178376801344,-1.775755085905501,100
dmw=10620,6,0.017316017316017316,-0.15688302855298822,-1.5738273162807397,231
dmw=10620,1,0.06292517006802721,-0.08747143119570862,-1.0926488746692826,588
dmw=10621,8,0.3333333333333333,-0.4309376327458328,-2.4893694531777126,120
dmw=10621,6,0.3814814814814815,-0.3680697135360009,-2.1106924464966013,270
dmw=10628,4,0.6611909650924025,-0.13300422531192235,-1.9129151718105388,487
dmw=10628,8,0.7241379310344828,-0.0843105543227951,-1.1982142608331747,87
dmw=10628,10,0.6901408450704225,-0.07343980869152156,-1.0386589911676527,71
dmw=10659,13,0.5172413793103449,-0.22205373471957723,-2.8375234315377678,116
dmw=10659,4,0.5947242206235012,-0.12204611648816277,-1.5325926090312016,834
dmw=10666,12,0.20987654320987653,-0.14633275716373662,-1.5414065293088373,81
dmw=10666,6,0.25157232704402516,-0.1374987067041868,-1.4547709371641953,318
dmw=10666,13,0.29411764705882354,-0.12000511589760765,-1.2832111747195871,51
dmw=10677,6,0.26838235294117646,-0.2687615930420511,-1.6101042156440843,272
dmw=10677,4,0.32421875,-0.21055258619676043,-1.2656678438337805,256
dmw=10677,14,0.4489795918367347,-0.1716511876626165,-1.0354791274198494,49
dmw=10717,6,0.3939393939393939,-0.21485603404151687,-1.7279685029433818,231
dmw=10717,8,0.4431818181818182,-0.18449682775026294,-1.5103819194948769,88
dmw=10717,2,0.4927536231884058,-0.152593708565737,-1.2817300029027343,207
dmw=10717,4,0.484149855907781,-0.12237119719303696,-1.0651231216248849,347
dmw=10722,7,0.03571428571428571,-0.18372096894217954,-1.4702520681511215,56
dmw=10722,1,0.03481012658227848,-0.1437677751705427,-1.2458199825598246,316
dmw=10722,0,0.09523809523809523,-0.1083403875902769,-1.0468110490778966,273
dmw=10771,11,0.2185430463576159,-0.41834641630589575,-3.09944275499511,151
dmw=10771,2,0.4232258064516129,-0.23386941335353573,-1.654592412996135,775
dmw=10786,12,0.26666666666666666,-0.16328586944331253,-1.5906808219893536,45
dmw=10786,5,0.375,-0.14576457282228894,-1.4351847796236628,224
dmw=10786,10,0.3,-0.11849914318290622,-1.1932125960560895,90
dmw=10825,8,0.0,-0.12662655104106274,-1.4432902679270594,90
dmw=10825,6,0.005154639175257732,-0.1128835708928703,-1.314257249695058,194
dmw=10825,10,0.014705882352941176,-0.08516414302989295,-1.0539991832308757,68
dmw=10826,6,0.3745819397993311,-0.3483699262444966,-3.097795048534141,299
dmw=10826,16,0.5,-0.134687130396562,-1.0848706788357891,46
dmw=10836,4,0.23247232472324722,-0.1969697072617456,-1.4187949291572142,542
dmw=10836,14,0.32142857142857145,-0.195761700858408,-1.4087707657614719,56
