DMW,Cluster,Raw_Fraction,Residual,Z_Score,Coverage
dmw=22344,0,0.2120456165359943,-0.03293221004760977,-0.8355831405960983,2806
dmw=15665,0,0.4071467244179751,-0.03263574921763651,-0.8651588424697634,7388
dmw=12065,0,0.5853365384615384,-0.03255403347535113,-0.5523327127766835,4992
dmw=486,0,0.020119760479041918,-0.032512822043364954,-1.134094670332474,4175
dmw=17888,0,0.6045767716535433,-0.0324471739748875,-0.9219770095429967,4064
dmw=7629,0,0.3749300503637381,-0.03242408115695139,-0.7563447722603596,1787
dmw=14462,0,0.5540423692174665,-0.03221691031406182,-1.157604026029947,4626
dmw=6438,0,0.604015481373972,-0.03185122565985954,-0.6835009976767186,4134
dmw=13666,0,0.19001490312965721,-0.03160282988625551,-0.7345742667819161,1342
dmw=15116,0,0.4961943793911007,-0.03140922516484851,-0.8600853297209983,3416
dmw=14041,0,0.6211481637821866,-0.03129602020268529,-0.608781809541788,9476
dmw=16789,0,0.5075757575757576,-0.03128620259737713,-0.9084415624290963,1056
dmw=12760,0,0.4592017738359202,-0.031281750044788725,-0.5849510351956567,9020
dmw=19706,0,0.5601926163723917,-0.03123928462081549,-0.5461737187142173,4361
dmw=2847,0,0.6013631597343586,-0.03122470283896528,-0.6258080171761081,5722
dmw=5084,0,0.14440298507462687,-0.031021932668823027,-0.7345539819803378,2680
dmw=21654,0,0.251247431758145,-0.03097066901916118,-0.761431268866031,3407
dmw=2849,0,0.6332972972972973,-0.030810764977770577,-0.9963786994866314,4625
dmw=6005,0,0.4455891822279459,-0.03069668265212261,-0.9290015506872465,1553
dmw=21407,0,0.1332980692938376,-0.030629835946682726,-0.8907610625374245,3781
dmw=21354,0,0.35410298612743946,-0.03054009278003672,-0.6512336161206245,4253
dmw=14232,0,0.6270528515974918,-0.03042252936474521,-0.7769519262634184,3349
dmw=20572,0,0.3646191646191646,-0.030314184211974182,-0.925222468955899,2035
dmw=19717,0,0.5702136486206181,-0.030293732035225562,-0.5736103342290949,4821
dmw=8292,0,0.14150114255580945,-0.030125101358857542,-0.7817662914406075,5689
dmw=2775,0,0.6302296319597358,-0.030116945240849624,-0.7265289592247262,6358
dmw=19667,0,0.44781382228490835,-0.03000000268839864,-0.6241313861220757,1418
dmw=19620,0,0.5804653755050857,-0.029916442893743844,-0.5299497822996594,7177
dmw=11390,0,0.4037940379403794,-0.029843089528095113,-0.7607703298652617,1845
dmw=2725,0,0.4834938985228003,-0.029657963839229196,-0.5891246074776064,7785
dmw=1435,0,0.47759433962264153,-0.029640680999763136,-0.7099967024006616,2544
dmw=6667,0,0.220616570327553,-0.029572799259938665,-0.6865538540261362,1038
dmw=3886,0,0.536382839245393,-0.029447344086447114,-0.5216245289959549,13729
dmw=8421,0,0.2073632918245804,-0.02942664599554959,-0.6557878565341813,1847
dmw=19134,0,0.355877616747182,-0.02930398385665761,-0.5339194501119185,621
dmw=1726,0,0.25406758448060074,-0.029157468218460214,-0.5203290772267639,799
dmw=10409,0,0.008746355685131196,-0.029131213811886835,-1.2490412372267186,3087
dmw=16083,0,0.21519641626464509,-0.02907461161041941,-0.9543984712146215,5804
dmw=21568,0,0.3936438011327879,-0.02907113312835785,-0.5335772189878646,3178
dmw=13232,0,0.24095394736842105,-0.02906003617116029,-0.6542292716399591,2432
dmw=19728,0,0.5477950884605228,-0.02899079885956901,-0.574279268680652,7574
dmw=6339,0,0.5726837060702875,-0.028937222088544767,-0.506734895200296,3756
dmw=10722,0,0.22397476340694006,-0.028836209385035783,-0.6905179550459434,634
dmw=2681,0,0.30344827586206896,-0.02882876935407408,-0.9523919424591814,6235
