item,cluster,raw_fraction,residual,z_score,coverage,dmw_id,gene
dmw=6574,10,0.17894736842105263,-0.05555400873549407,-1.0316470512907046,95,dmw=6574,AT2G13550
dmw=6602,13,0.0,-0.05775276612994535,-1.1206475009676058,27,dmw=6602,AT2G13840
dmw=6602,11,0.0,-0.05580566438064382,-1.0748022239487725,19,dmw=6602,AT2G13840
dmw=6602,5,0.009523809523809525,-0.055131013477290235,-1.0589173029032513,105,dmw=6602,AT2G13840
dmw=6636,12,0.71900826446281,-0.19058377422327366,-3.593054331171772,121,dmw=6636,AT2G14255
dmw=6654,12,0.8301886792452831,-0.060688843019272354,-2.138229302904972,53,dmw=6654,AT2G14395
dmw=6667,7,0.17699115044247787,-0.1148240632859528,-1.527257884588571,113,dmw=6667,AT2G00570
dmw=6667,3,0.2204724409448819,-0.09735850286790604,-1.3559999619806833,127,dmw=6667,AT2G00570
dmw=6667,0,0.1934065934065934,-0.07914784262108152,-1.1774359898812417,455,dmw=6667,AT2G00570
dmw=6667,1,0.1716937354988399,-0.06995967891714266,-1.0873417821458946,431,dmw=6667,AT2G00570
dmw=6668,10,0.11320754716981132,-0.1927713973774666,-1.8634298716992659,106,dmw=6668,AT2G14560
dmw=6668,7,0.27988338192419826,-0.08604048545508547,-1.0127044565691987,343,dmw=6668,AT2G14560
dmw=6685,11,0.10465116279069768,-0.44453000533872794,-2.7243580039855964,86,dmw=6685,AT2G14750
dmw=6685,2,0.2698412698412698,-0.301138609746977,-1.8071449615555357,441,dmw=6685,AT2G14750
dmw=6694,13,0.46153846153846156,-0.317531832520051,-1.9033093962630365,65,dmw=6694,AT2G14870
dmw=6694,14,0.5294117647058824,-0.2880675616781574,-1.697572198347786,17,dmw=6694,AT2G14870
dmw=6694,15,0.6086956521739131,-0.20117147698728421,-1.090811655382401,23,dmw=6694,AT2G14870
dmw=6710,6,0.6764705882352942,-0.2020592003320898,-2.2814411423091165,204,dmw=6710,AT2G06355
dmw=6710,4,0.689795918367347,-0.18771214724140328,-2.1115529899541783,245,dmw=6710,AT2G06355
dmw=6710,10,0.7435897435897436,-0.11346640498378435,-1.2323848505014867,39,dmw=6710,AT2G06355
dmw=6711,12,0.7757009345794392,-0.10979717151621737,-1.984831787504972,107,dmw=6711,AT2G15042
dmw=6711,11,0.7962962962962963,-0.10870783872718426,-1.9637260106489907,54,dmw=6711,AT2G15042
dmw=6711,9,0.7658227848101266,-0.08019875881529126,-1.411363789436665,158,dmw=6711,AT2G15042
dmw=6714,13,0.05555555555555555,-0.4477145576566205,-1.8405231826396973,36,dmw=6714,AT2G15050
dmw=6714,4,0.049429657794676805,-0.42540908822952367,-1.743931744378957,263,dmw=6714,AT2G15050
dmw=6714,6,0.08441558441558442,-0.39280262402800203,-1.6027329552606133,154,dmw=6714,AT2G15050
